,geo_value,time_value,children cant covid
2271,36119,2021-06-02,9.5764337
2356,6000,2021-06-03,6.6678142
2357,6001,2021-06-03,7.1281367
2358,6013,2021-06-03,6.4872171
2359,6019,2021-06-03,13.6800571
2360,6029,2021-06-03,10.7776995
2361,6037,2021-06-03,10.6394867
2362,6059,2021-06-03,8.0351472
2363,6065,2021-06-03,8.8859201
2364,6067,2021-06-03,9.2632972
2365,6071,2021-06-03,10.8458267
2366,6073,2021-06-03,7.1055608
2367,6075,2021-06-03,4.1976347
2368,6077,2021-06-03,16.1914503
2369,6081,2021-06-03,5.9594242
2370,6085,2021-06-03,9.4819706
2371,6095,2021-06-03,2.5829739
2372,6097,2021-06-03,7.5760198
2373,6099,2021-06-03,3.4050434
2374,6111,2021-06-03,7.4296672
2481,36000,2021-06-03,6.8063789
2482,36005,2021-06-03,17.0719626
2483,36029,2021-06-03,5.9393046
2484,36047,2021-06-03,8.7995241
2485,36055,2021-06-03,5.6755056
2486,36059,2021-06-03,5.3239753
2487,36061,2021-06-03,7.2375145
2488,36067,2021-06-03,5.5719112
2489,36081,2021-06-03,8.6811184
2490,36103,2021-06-03,6.0592146
2491,36119,2021-06-03,7.9326901
2579,6000,2021-06-04,6.7374894
2580,6001,2021-06-04,7.1360721
2581,6013,2021-06-04,6.7614139
2582,6019,2021-06-04,14.5441591
2583,6029,2021-06-04,9.0727726
2584,6037,2021-06-04,10.535561
2585,6059,2021-06-04,7.9942017
2586,6065,2021-06-04,7.6711379
2587,6067,2021-06-04,8.9352065
2588,6071,2021-06-04,13.4461673
2589,6073,2021-06-04,9.2065172
2590,6075,2021-06-04,3.2086737
2591,6077,2021-06-04,14.3284558
2592,6081,2021-06-04,7.1611894
2593,6085,2021-06-04,8.9092223
2594,6095,2021-06-04,7.4995927
2595,6097,2021-06-04,7.6738102
2596,6099,2021-06-04,3.6382067
2597,6111,2021-06-04,8.0675907
2702,36000,2021-06-04,6.9454605
2703,36005,2021-06-04,15.1020854
2704,36029,2021-06-04,6.3448158
2705,36047,2021-06-04,8.8516815
2706,36055,2021-06-04,5.2429969
2707,36059,2021-06-04,4.4973854
2708,36061,2021-06-04,6.8966382
2709,36067,2021-06-04,5.0761999
2710,36081,2021-06-04,7.9401715
2711,36103,2021-06-04,7.526139
